METADATA_MODE;MODE;METADATA;UNIT,CODE;Mode
MAPPING_LAYER;LAYER;MAPPING;LAYER_NAME;Layer
LOCATION_DATA;LOCATION;RAW_DATA;PROVIDER_ID,PLOT_CODE;Location
PLOT_DATA;PLOT_DATA;RAW_DATA;PROVIDER_ID,PLOT_CODE,CYCLE;Plot Data
SPECIES_DATA;SPECIES_DATA;RAW_DATA;PROVIDER_ID,PLOT_CODE,CYCLE,ID_TAXON;Species Data
TREE_DATA;TREE_DATA;RAW_DATA;PROVIDER_ID,PLOT_CODE,CYCLE,TREE_ID;Tree data
HARMONIZED_LOCATION_DATA;HARMONIZED_LOCATION;HARMONIZED_DATA;PROVIDER_ID,PLOT_CODE;Harmonized Location
HARMONIZED_PLOT_DATA;HARMONIZED_PLOT_DATA;HARMONIZED_DATA;PROVIDER_ID,PLOT_CODE,CYCLE;Harmonized Plot Data
HARMONIZED_SPECIES_DATA;HARMONIZED_SPECIES_DATA;HARMONIZED_DATA;PROVIDER_ID,PLOT_CODE,CYCLE,ID_TAXON;Harmonized Species Data
HARMONIZED_TREE_DATA;HARMONIZED_TREE_DATA;HARMONIZED_DATA;PROVIDER_ID,PLOT_CODE,CYCLE,TREE_ID;Harmonized Tree data
TEST_1_TABLE;TEST_1;RAW_DATA;ID;Test table 1
TEST_2_TABLE;TEST_2;RAW_DATA;ID;Test table 2
TEST_3_TABLE;TEST_3;RAW_DATA;ID;Test table 3
HARMONIZED_TEST_1_TABLE;HARMONIZED_TEST_1;HARMONIZED_DATA;ID;Harmonized test table 1
HARMONIZED_TEST_2_TABLE;HARMONIZED_TEST_2;HARMONIZED_DATA;ID;Harmonized test table 2
HARMONIZED_TEST_3_TABLE;HARMONIZED_TEST_3;HARMONIZED_DATA;ID;Harmonized test table 3
