VARIABLE_NAME;STRING;;A variable name;
INT_VALUE;INTEGER;;A integer value;
FLOAT_VALUE;NUMERIC;;A float value;
TEXT_VALUE;STRING;;A text value;
CENTIMETRE;NUMERIC;;cm;Centimetre
DEGREE_MINUTE_SECOND;NUMERIC;COORDINATE;Degree Minute and Second of a coordinate;The coordinate format is +/-DD.MM.SS, The datum used is WGS 84 and no map projection system is used.
PERCENTAGE;NUMERIC;RANGE;%;Percentage.
PROVIDER_ID;CODE;DYNAMIC;The identifier of the provider;The identifier of the provider
PLOT_CODE;STRING;;The code of the plot;The code of the plot (code used by the country)
COMMENT;STRING;;A comment;
DATASET_ID;STRING;;The identifier of a dataset;The identifier of a dataset
SUBMISSION_ID;INTEGER;;Submission identifier;An identifier of a submission
GEOM_LINE;GEOM;LINESTRING;The geometry of a line;
M;NUMERIC;;m;Meter
M2;NUMERIC;;m2;Square meter
KM2;NUMERIC;;km2;Square kilometer
M3;NUMERIC;;m3;Cubic meter
M2/HA;NUMERIC;RANGE;Square meter per hectare;
SPECIES_CODE;CODE;MODE;Tree species code;The code of the specie of the tree
CYCLE;STRING;;The cycle of inventory;
IS_FOREST_PLOT;STRING;;Is the plot inside a forest;
DEGREE;NUMERIC;RANGE;Degree, between 0 and 359;North=0
SPECIES_CLASS;CODE;MODE;Species class;Species class (conifers/broadleaves)
TREE_ID;INTEGER;;The identifier of a tree;The identifier of a tree
COMMUNES;ARRAY;DYNAMIC;Communes;Exemple de liste de codes à choix multiples, à partir d'une table
ID_TAXON;CODE;TAXREF;Identifiant de taxon;Exemple d'arborescence taxonomique
DEPARTEMENT;CODE;DYNAMIC;Département;Exemple de liste de code à partir d'une table
PHOTO;IMAGE;;Une photo;Exemple d'image à uploader
CORINE_BIOTOPE;ARRAY;TREE;Corine biotope;Exemple d'arborescence simple, a choix multiple
FICHE_PLACETTE;STRING;LINK;Fiche placette;Exemple de lien URL
ARRAY_CODE_3;ARRAY;MODE;ARRAY_CODE_3;An array code 3
ARRAY_CODE_10;ARRAY;MODE;ARRAY_CODE_10;An array code 10
ARRAY_CODE_100;ARRAY;MODE;ARRAY_CODE_100;An array code 100
ARRAY_DYNAMIC_3;ARRAY;DYNAMIC;ARRAY_DYNAMIC_3;An array dynamic 3
ARRAY_DYNAMIC_10;ARRAY;DYNAMIC;ARRAY_DYNAMIC_10;An array dynamic 10
ARRAY_DYNAMIC_100;ARRAY;DYNAMIC;ARRAY_DYNAMIC_100;An array dynamic 100
ARRAY_TAXREF;ARRAY;TAXREF;ARRAY_TAXREF;An Array taxref
ARRAY_TREE;ARRAY;TREE;ARRAY_TREE;An array tree
BOOLEAN;BOOLEAN;;BOOLEAN;A boolean
CODE_CODE_3;CODE;MODE;CODE_CODE_3;A code code 3
CODE_CODE_10;CODE;MODE;CODE_CODE_10;A code code 10
CODE_CODE_100;CODE;MODE;CODE_CODE_100;A code code 100
CODE_DYNAMIC_3;CODE;DYNAMIC;CODE_DYNAMIC_3;A code dynamic 3
CODE_DYNAMIC_10;CODE;DYNAMIC;CODE_DYNAMIC_10;A code dynamic 10
CODE_DYNAMIC_100;CODE;DYNAMIC;CODE_DYNAMIC_100;A code dynamic 100
CODE_TAXREF;CODE;TAXREF;CODE_TAXREF;A code taxref
CODE_TREE;CODE;TREE;CODE_TREE;A code tree
DATE;DATE;;DATE;A date
DATETIME;DATETIME;;DATETIME;A datetime
GEOM_LINESTRING;GEOM;LINESTRING;GEOM_LINESTRING;A geom linestring
GEOM_POINT;GEOM;POINT;GEOM_POINT;A geom point
GEOM_POLYGON;GEOM;POLYGON;GEOM_POLYGON;A geom polygon
IMAGE;IMAGE;;IMAGE;Image
NUMERIC_INTEGER;NUMERIC;INTEGER;NUMERIC_INTEGER;A numeric integer
NUMERIC_NUMERIC;NUMERIC;NUMERIC;NUMERIC_NUMERIC;A numeric numeric
NUMERIC_RANGE;NUMERIC;RANGE;NUMERIC_RANGE;A numeric range
NUMERIC_COORDINATE;NUMERIC;COORDINATE;NUMERIC_COORD;A numeric coordinate
STRING_LINK;STRING;LINK;STRING_LINK;A string link
STRING_STRING;STRING;STRING;STRING_STRING;A string string
TIME;TIME;;TIME;A time
