999;Other broadleaves
998;Other conifers
997;Other shrubs
026.001.006;Abies alba
026.001.008;Abies cephalonica
026.001.002;Abies grandis
026.001.003;Abies lasiocarpa
026.001.007;Abies nebrodensis
026.001.005;Abies nordmanniana
026.001.009;Abies pinsapo
026.001.001;Abies procera
026.001.004;Abies sibirica
026.001.999;Abies sp.
081.004.009;Acacia cyanophylla
081.004.006;Acacia cyclops
081.004.003;Acacia dealbata
081.004.001;Acacia farnesiana
081.004.002;Acacia karoo
081.004.005;Acacia longifolia
081.004.004;Acacia mearnsii
081.004.007;Acacia melanoxylon
081.004.008;Acacia pycnantha
081.004.010;Acacia retinodes
081.004.999;Acacia sp.
095.001.003;Acer campestre
095.001.010;Acer granatense
095.001.006;Acer heldreichii
095.001.011;Acer hyrcanum
095.001.002;Acer lobelii
095.001.013;Acer monspessulanum
095.001.015;Acer negundo
095.001.009;Acer obtusatum
095.001.008;Acer opalus
095.001.001;Acer platanoides
095.001.005;Acer pseudoplatanus
095.001.014;Acer sempervirens
095.001.999;Acer sp.
095.001.012;Acer stevenii
095.001.004;Acer tataricum
095.001.007;Acer trautvetteri
097.001.001;Aesculus hippocastaneaum
090.001.001;Ailanthus altissima 
090.001.999;Ailanthus sp. (glandulosa)
034.002.005;Alnus cordata
034.002.002;Alnus glutinosa
034.002.004;Alnus incana
034.002.999;Alnus sp.
034.002.001;Alnus viridis
080.030.003;Amelanchier canadensis
080.030.004;Amelanchier grandiflora
080.030.001;Amelanchier ovalis
080.030.999;Amelanchier sp.
080.030.002;Amelanchier spicata
132.012.002;Arbutus andrachne
132.012.999;Arbutus sp.
132.012.001;Arbutus unedo
063.005.001;Berberis vulgaris
034.001.003;Betula humilis 
034.001.004;Betula nana 
034.001.001;Betula pendula
034.001.002;Betula pubescens
034.001.999;Betula sp.
102.001.002;Buxus balearica
102.001.001;Buxus sempervirens
102.001.999;Buxus sp.
035.001.001;Carpinus betulus
035.001.002;Carpinus orientalis
035.001.999;Carpinus sp.
036.003.001;Castanea sativa 
036.003.999;Castanea sp.
026.006.002;Cedrus atlantica
026.006.001;Cedrus deodara
026.006.003;Cedrus libani
026.006.999;Cedrus sp.
037.003.001;Celtis australis
081.002.001;Ceratonia siliqua
081.001.001;Cercis siliquastrum 
028.002.001;Chamaecyparis lawsoniana
194.001.001;Chamaerops humilis
065.999.999;Cinnamomum camphora
127.001.004;Cornus mas
127.001.001;Cornus sanguinea
127.001.999;Cornus sp.
035.003.001;Corylus avellana
035.003.999;Corylus sp.
080.034.021;Crataegus azarolus
080.034.020;Crataegus laciniata
080.034.005;Crataegus laevigata
080.034.014;Crataegus monogyna
080.034.999;Crataegus sp. 
027.004.999;Cryptomeria sp.
028.001.004;Cupressus arizonica
028.001.003;Cupressus lusitanica
028.001.002;Cupressus macrocarpa
028.001.001;Cupressus sempervirens
028.001.999;Cupressus sp.
132.001.009;Erica arborea
132.001.012;Erica manipuliflora
132.001.016;Erica scoparia
132.001.999;Erica sp.
121.002.007;Eucalyptus camaldulensis
121.002.005;Eucalyptus gomphocephalus
121.002.999;Eucalyptus sp.
100.001.001;Euonymus europaeus
100.001.999;Euonymus sp.
036.001.999;Fagus sp.
036.001.001;Fagus sylvatica
038.004.001;Ficus carica
038.004.999;Ficus sp.
103.004.001;Frangula alnus
139.004.004;Fraxinus angustifolia 
139.004.003;Fraxinus excelsior
139.004.001;Fraxinus ornus
139.004.005;Fraxinus pallisae
139.004.002;Fraxinus pennsylvania
139.004.999;Fraxinus sp.
081.003.999;Gleditsia sp.
108.001.001;Hippophae rhamnoides
099.001.001;Ilex aquifolium
099.001.004;Ilex canariensis
099.001.999;Ilex sp.
033.001.003;Juglans cinerea
033.001.001;Juglans nigra
033.001.002;Juglans regia
033.001.999;Juglans sp.
028.005.002;Juniperus comunis
028.005.003;Juniperus oxycedrus
028.005.006;Juniperus phoenicea
028.005.010;Juniperus sabina
028.005.999;Juniperus sp.
028.005.007;Juniperus thurifera
028.005.011;Juniperus virginiana
081.008.002;Laburnum alpinum
081.008.001;Laburnum anagyroides
081.008.999;Laburnum sp.
026.005.002;Larix decidua
026.005.001;Larix kaempferi C25
026.005.999;Larix sp.
065.001.002;Laurus azorica
065.001.001;Laurus nobilis
139.006.001;Ligustrum vulgare
064.001.001;Liriodendron tulipifera 
164.006.999;Lonicera sp.
064.001.999;Magnolia sp.
080.027.006;Malus domestica
080.027.999;Malus sp.
080.027.003;Malus sylvestris
035.002.999;Metasequoia sp.
038.002.002;Morus alba
038.002.001;Morus nigra
038.002.999;Morus sp.
032.001.002;Myrica faya
121.001.001;Myrtus communis
064.999.999;Ocotea foetens
139.007.001;Olea europaea
139.007.999;Olea sp.
035.002.001;Ostrya carpinifolia
154.999.999;Paulownia tomentosa
065.002.001;Persea indica
139.008.001;Phillyrea angustifolia
139.008.002;Phillyrea latifolia
194.002.002;Phoenix canariensis
194.002.999;Phoenix sp.
139.009.002;Picconia excelsa
026.004.001;Picea abies 
026.004.004;Picea engelmannii
026.004.003;Picea glauca
026.004.007;Picea omorika
026.004.002;Picea orientalis
026.004.005;Picea pungens
026.004.006;Picea sitchensis
026.004.999;Picea sp.
026.007.004;Pinus banksiana
026.007.012;Pinus canariensis
026.007.014;Pinus cembra
026.007.001;Pinus contorta
026.007.011;Pinus halepensis
026.007.010;Pinus heldreichii
026.007.100;Pinus leucodermis
026.007.008;Pinus mugo 
026.007.006;Pinus nigra 
026.007.002;Pinus pinaster
026.007.013;Pinus pinea
026.007.005;Pinus ponderosa
026.007.003;Pinus radiata 
026.007.999;Pinus sp
026.007.018;Pinus strobus
026.007.007;Pinus sylvestris
026.007.009;Pinus uncinata (rotundata)
094.003.001;Pistacia atlantica
094.003.004;Pistacia lentiscus
094.003.002;Pistacia terebinthus
079.001.002;Platanus acerifolia
079.001.001;Platanus orientalis
079.001.999;Platanus sp. (incl hybrida)
134.999.999;Pleiomeris canariensis
031.002.001;Populus alba
031.002.008;Populus nigra
031.002.999;Populus sp.
